customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,IntrntSrvc_DSL,IntrntSrvc_FiberOptic,IntrntSrvc_No,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract_Monthly,Contract_OneYear,Contract_TwoYear,PaperlessBilling,PayMthd_BankTransfer,PayMthd_CreditCard,PayMthd_ElectronicCheck,PayMthd_MailedCheck,MonthlyCharges,TotalCharges,Churn
7590-VHVEG,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,29.84,29.84,0
5575-GNVDE,1,0,0,0,34,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,56.94,1890.0,0
3668-QPYBK,1,0,0,0,2,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,53.84,108.1,1
7795-CFOCW,1,0,0,0,45,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,42.3,1841.0,0
9237-HQITU,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,70.7,151.6,1
9305-CDSKC,0,0,0,0,8,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,99.6,820.5,1
1452-KIOVK,1,0,0,1,22,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,89.1,1949.0,0
6713-OKOMC,0,0,0,0,10,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,29.75,302.0,0
7892-POOKP,0,0,1,0,28,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,104.8,3046.0,1
6388-TABGU,1,0,0,1,62,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,56.16,3488.0,0
9763-GRSKD,1,0,1,1,13,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,49.94,587.5,0
7469-LKBCI,1,0,0,0,16,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,18.95,326.8,0
8091-TTVAX,1,0,1,0,58,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,100.4,5680.0,0
0280-XJGEX,1,0,0,0,49,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,103.7,5036.0,1
5129-JLPIS,1,0,0,0,25,1,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,105.5,2686.0,0
3655-SNQYZ,0,0,1,1,69,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,113.25,7896.0,0
8191-XWSZG,0,0,0,0,52,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,20.66,1023.0,0
9959-WOFKT,1,0,0,1,71,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,106.7,7384.0,0
4190-MFLUW,0,0,1,1,10,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,55.2,528.5,1
4183-MYFRB,0,0,0,0,21,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,90.06,1863.0,0
8779-QRDMV,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,39.66,39.66,1
1680-VDCWW,1,0,1,0,12,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,19.8,202.2,0
1066-JKSGK,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,20.16,20.16,1
3638-WEABW,0,0,1,0,58,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,59.9,3506.0,0
6322-HRPFA,1,0,1,1,49,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,59.6,2970.0,0
6865-JZNKO,0,0,0,0,30,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,55.3,1531.0,0
6467-CHFZW,1,0,1,1,47,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,99.4,4748.0,1
8665-UTDHZ,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,30.2,30.2,1
5248-YGIJN,1,0,1,0,72,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,90.25,6370.0,0
8773-HHUOZ,0,0,0,1,17,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,64.7,1093.0,1
3841-NFECX,0,1,1,0,71,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,96.4,6770.0,0
4929-XIHVW,1,1,1,0,2,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,95.5,181.6,0
6827-IEAUQ,0,0,1,1,27,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,66.1,1874.0,0
7310-EGVHZ,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,20.2,20.2,0
3413-BMNZE,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,45.25,45.25,0
